"firstName","lastName","email","phone","gaurdian","class","address","school_ID"
"Nilanjan","Deb","nilanjan1729nsvian@gmail.com",7005179663,,"9-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-1"
"dev","Deb","nilanjan172nsvian@gmail.com",7005179663,,"10-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-2"
"brad","Deb","nilanjan1729reso@gmail.com",7005179663,,"10-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-3"
"web","Deb","nilanjan.dev.1729@gmail.com",7005179663,,"11-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-4"
"palak","Deb","email1@gmail.com",7005179663,,"11-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-5"
"iron Man","Deb","email2@gmail.com",7005179663,,"12-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-6"
"Jarvis","Deb","email3@gmail.com",7005179663,,"12-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-7"
"facebook","Deb","email4@gmail.com",7005179663,,"9-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-8"
"Google","Deb","email5@gmail.com",7005179663,,"9-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-9"
"Cisco","Deb","email6@gmail.com",7005179663,,"10-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-10"
"Nodejs","Deb","email7@gmail.com",7005179663,,"10-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-11"
"Captain","Deb","email8@gmail.com",7005179663,,"11-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-12"
"Dhoni","Deb","email9@gmail.com",7005179663,,"11-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-13"
"Nil","Deb","email10@gmail.com",7005179663,,"12-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-14"
"React","Deb","email11@gmail.com",7005179663,,"9-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-8-2013-15"
"Nilanjan1","Deb","nilanjan1729nsviana@gmail.com",7005179663,,"9-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-1"
"dev1","Deb","nilanjan172nsviana@gmail.com",7005179663,,"10-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-2"
"brad1","Deb","nilanjan1729resoa@gmail.com",7005179663,,"10-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-3"
"web1","Deb","nilanjan.dev.1729a@gmail.com",7005179663,,"11-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-4"
"palak1","Deb","email1a@gmail.com",7005179663,,"11-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-5"
"iron Man1","Deb","email2a@gmail.com",7005179663,,"12-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-6"
"Jarvis1","Deb","email3a@gmail.com",7005179663,,"12-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-7"
"facebook1","Deb","email4a@gmail.com",7005179663,,"9-B","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-8"
"Google1","Deb","email5a@gmail.com",7005179663,,"9-A","P.O AMTALI,VILL AMTALI MADHYAPARA","nsv-7-2013-9"
